job_name,GB_type,element,system,distance,path,structure_file,num_atoms,formula,volume,density,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,energy_eV,energy_per_atom_eV,incar,incar_system,incar_encut,incar_ediff,incar_ediffg,incar_ispin,incar_ismear,incar_sigma,incar_nsw,incar_ibrion,incar_isif,incar_prec,incar_lreal,incar_gga,potcar_symbols,potcar_nelectrons_map,potcar_total_nelectrons,parse_errors
C1-Al-Al-25-d-0.00,C1,Al,Al-25-d-0.00,0.0,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-25-d-0.00,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-398.91855356,-7.671510645384616,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-25-d-0.00""}",Al-25-d-0.00,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-26-d-0.00,C1,Al,Al-26-d-0.00,0.0,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-26-d-0.00,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-398.91823578,-7.671504534230769,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-26-d-0.00""}",Al-26-d-0.00,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-27-d-1.38,C1,Al,Al-27-d-1.38,1.38,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-27-d-1.38,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.05653242,-7.674164085,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-27-d-1.38""}",Al-27-d-1.38,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-28-d-1.38,C1,Al,Al-28-d-1.38,1.38,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-28-d-1.38,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.01479835,-7.673361506730769,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-28-d-1.38""}",Al-28-d-1.38,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-29-d-2.59,C1,Al,Al-29-d-2.59,2.59,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-29-d-2.59,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.17964407,-7.676531616730769,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-29-d-2.59""}",Al-29-d-2.59,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-30-d-2.59,C1,Al,Al-30-d-2.59,2.59,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-30-d-2.59,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.17745314,-7.6764894834615385,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-30-d-2.59""}",Al-30-d-2.59,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-31-d-3.83,C1,Al,Al-31-d-3.83,3.83,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-31-d-3.83,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.02814928,-7.673618255384615,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-31-d-3.83""}",Al-31-d-3.83,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-32-d-3.83,C1,Al,Al-32-d-3.83,3.83,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-32-d-3.83,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.02794222,-7.6736142734615385,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-32-d-3.83""}",Al-32-d-3.83,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-33-d-5.07,C1,Al,Al-33-d-5.07,5.07,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-33-d-5.07,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.11488464,-7.675286243076924,"{""ALGO"": ""Normal"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-33-d-5.07""}",Al-33-d-5.07,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
C1-Al-Al-34-d-5.07,C1,Al,Al-34-d-5.07,5.07,/mnt/e/OneDrive/TiGB-Project/Data/SegregationProfile/C1/Al/Al-34-d-5.07,CONTCAR,52,Ti51 Al1,915.1478097085853,4.478555332500511,5.088765,5.495746,32.722931,90.0,90.0,90.0,-399.11229657,-7.6752364725,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 0.0001, ""EDIFFG"": -0.02, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 4, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 120, ""NSIM"": 1, ""NSW"": 60, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-34-d-5.07""}",Al-34-d-5.07,450.0,0.0001,-0.02,1,1,0.2,60,2,2,Accurate,Auto,Pe,"[""Ti"", ""Al"", ""Ti""]","{""Ti"": 4.0, ""Al"": 3.0}",207.0,
