job_name,top_level,relpath,path,structure_file,num_atoms,formula,volume,density,energy_eV,energy_per_atom_eV,incar,incar_system,incar_encut,incar_ispin,incar_ismear,incar_sigma,incar_gga,potcar_nelectrons_map,potcar_total_nelectrons,parse_errors,solute
BondOrder-VacuumGB-C1-Al-Al-25-d-0.00,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-25-d-0.00,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-25-d-0.00,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-391.85014244,-7.5355796623076925,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-25-d-0.00""}",Al-25-d-0.00,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-26-d-0.00,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-26-d-0.00,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-26-d-0.00,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-390.81375913,-7.515649214038461,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-26-d-0.00""}",Al-26-d-0.00,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-27-d-1.38,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-27-d-1.38,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-27-d-1.38,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-391.17956995,-7.5226840374999995,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-27-d-1.38""}",Al-27-d-1.38,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-28-d-1.38,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-28-d-1.38,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-28-d-1.38,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-391.01722782,-7.519562073461539,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-28-d-1.38""}",Al-28-d-1.38,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-29-d-2.59,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-29-d-2.59,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-29-d-2.59,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-391.08793839,-7.520921892115384,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-29-d-2.59""}",Al-29-d-2.59,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-30-d-2.59,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-30-d-2.59,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-30-d-2.59,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-391.07832412,-7.520737002307692,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-30-d-2.59""}",Al-30-d-2.59,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-31-d-3.83,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-31-d-3.83,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-31-d-3.83,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-392.18680536,-7.542053949230769,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-31-d-3.83""}",Al-31-d-3.83,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-32-d-3.83,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-32-d-3.83,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-32-d-3.83,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-390.9297595,-7.517879990384615,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-32-d-3.83""}",Al-32-d-3.83,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-33-d-5.07,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-33-d-5.07,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-33-d-5.07,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-391.07866696,-7.520743595384616,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-33-d-5.07""}",Al-33-d-5.07,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
BondOrder-VacuumGB-C1-Al-Al-34-d-5.07,BondOrder-VacuumGB,BondOrder-VacuumGB/C1/Al/Al-34-d-5.07,/mnt/e/Onedrive/TiGB-Project/Data/BondOrder-VacuumGB/C1/Al/Al-34-d-5.07,CONTCAR,52,Ti51 Al1,1362.6127680076254,3.007853881473104,-391.0519833,-7.520230448076924,"{""ALGO"": ""Fast"", ""AMIX"": 0.01, ""BMIX"": 0.0001, ""EDIFF"": 1e-05, ""EDIFFG"": -0.01, ""ENCUT"": 450.0, ""GGA"": ""Pe"", ""IBRION"": 2, ""ISIF"": 2, ""ISMEAR"": 1, ""ISPIN"": 1, ""ISTART"": 0, ""KPAR"": 1, ""LAECHG"": true, ""LCHARG"": true, ""LORBIT"": 10, ""LPLANE"": false, ""LREAL"": ""Auto"", ""NCORE"": 4, ""NELM"": 300, ""NSIM"": 1, ""NSW"": 2, ""PREC"": ""Accurate"", ""SIGMA"": 0.2, ""SYSTEM"": ""Al-34-d-5.07""}",Al-34-d-5.07,450.0,1,1,0.2,Pe,"{""Ti"": 4.0, ""Al"": 3.0}",207.0,,Al
